feature,importance,importance_share,feature_type
pixel_r03_c14,5.0,0.0005555555555555556,pixel
pixel_r23_c28,5.0,0.0005555555555555556,pixel
pixel_r20_c31,5.0,0.0005555555555555556,pixel
pixel_r24_c11,5.0,0.0005555555555555556,pixel
pixel_r24_c13,5.0,0.0005555555555555556,pixel
pixel_r04_c11,5.0,0.0005555555555555556,pixel
pixel_r04_c12,5.0,0.0005555555555555556,pixel
pixel_r23_c15,5.0,0.0005555555555555556,pixel
pixel_r24_c10,5.0,0.0005555555555555556,pixel
pixel_r19_c07,5.0,0.0005555555555555556,pixel
pixel_r19_c08,5.0,0.0005555555555555556,pixel
pixel_r12_c11,5.0,0.0005555555555555556,pixel
pixel_r12_c09,5.0,0.0005555555555555556,pixel
pixel_r19_c03,5.0,0.0005555555555555556,pixel
pixel_r03_c16,5.0,0.0005555555555555556,pixel
pixel_r08_c24,5.0,0.0005555555555555556,pixel
pixel_r08_c19,5.0,0.0005555555555555556,pixel
pixel_r17_c03,5.0,0.0005555555555555556,pixel
pixel_r13_c18,5.0,0.0005555555555555556,pixel
pixel_r13_c19,5.0,0.0005555555555555556,pixel
pixel_r03_c11,5.0,0.0005555555555555556,pixel
pixel_r24_c19,5.0,0.0005555555555555556,pixel
pixel_r08_c08,5.0,0.0005555555555555556,pixel
pixel_r08_c07,5.0,0.0005555555555555556,pixel
pixel_r26_c12,5.0,0.0005555555555555556,pixel
pixel_r07_c16,5.0,0.0005555555555555556,pixel
pixel_r07_c30,5.0,0.0005555555555555556,pixel
pixel_r07_c26,5.0,0.0005555555555555556,pixel
pixel_r07_c23,5.0,0.0005555555555555556,pixel
pixel_r20_c16,5.0,0.0005555555555555556,pixel
